id,fakultas,informasi
FEB,Fakultas Ekonomi dan Bisnis,FEB UNISMUH aktif membangun kerjasama dengan PWA Sulsel Ikatan Alumni Santri Sulawesi (IASS) dan PPPUM. Kolaborasi ini difokuskan pada pengembangan kewirausahaan mahasiswa literasi keuangan syariah serta penguatan UMKM berbasis digital. Selain itu FEB juga ikut serta dalam program monitoring pendidikan dan kesehatan seperti peningkatan jumlah santri serta upaya menurunkan angka stunting. Hal ini menunjukkan komitmen fakultas untuk memberikan dampak nyata bagi masyarakat.
FEB,Fakultas Ekonomi dan Bisnis,FEB telah menandatangani sejumlah MoU penting baik dengan lembaga nasional maupun internasional. Di antaranya adalah dengan SEAMEO SEAMOLEC (bidang TIK dan pembelajaran jarak jauh 2021) LPK ERA HAKWON & LPPR Indonesia (pendidikan pelatihan pengabdian 2021) Yayasan Habibie Education Youth (pengembangan SDM 2021) dan Pemerintah Kabupaten Majene (pendidikan penelitian pengabdian serta penguatan AIK 2021). Kerjasama ini memperluas jaringan dan kesempatan bagi mahasiswa serta dosen FEB.
FEB,Fakultas Ekonomi dan Bisnis,Website FEB menyediakan menu Download yang memuat berbagai dokumen resmi penting untuk mahasiswa dan dosen. Di antaranya adalah struktur organisasi dan tupoksi pimpinan fakultas panduan skripsi dan KKP periode 2023-2025 buku pedoman akademik SOP fakultas validasi data bimbingan skripsi per prodi jadwal ujian SK GKM hingga laporan survei kepuasan. Dengan fasilitas ini mahasiswa dapat mengakses kebutuhan akademiknya secara praktis.
FEB,Fakultas Ekonomi dan Bisnis,FEB UNISMUH rutin memberitakan kegiatan capaian dan prestasi mahasiswa maupun dosen. Fakultas ini menjadi tuan rumah Kongres Nasional AFEB PTMA 2025 sebuah forum penting bagi akademisi ekonomi dan bisnis Muhammadiyah. Selain itu dosen FEB turut berperan sebagai analis kebijakan ekonomi termasuk isu perpajakan seperti PPN. Mahasiswa FEB juga aktif menorehkan prestasi misalnya di ajang National Economic Competition (NEC) di Yogyakarta. FEB juga sukses menjalani audit eksternal ISO sebagai bagian dari upaya meningkatkan mutu layanan pendidikan.
FEB,Fakultas Ekonomi dan Bisnis,Fakultas berlokasi di Lantai 7 Fakultas Ekonomi dan Bisnis Jl. Sultan Alauddin No.259 Gn. Sari Kec. Rappocini Kota Makassar Sulawesi Selatan 90221. Terdapat juga kontak melalui media sosial seperti Facebook YouTube Instagram serta kemungkinan kontak WhatsApp.
FEB,Fakultas Ekonomi dan Bisnis,Terdapat menu Al Islam dan Kemuhammadiyyaan yang menunjukkan perhatian fakultas pada pendidikan karakter dan keislaman serta pengintegrasian nilai-nilai Islam dan Muhammadiyah dalam pembelajaran dan budaya kampus.
FEB,Fakultas Ekonomi dan Bisnis,Fakultas memiliki berbagai lembaga mahasiswa seperti IMM BEM HIMAJEP HIMANSI HMJ-Manajemen HIMAKIS dan HIMAPA yang secara aktif menyelenggarakan kegiatan organisasi dan pengembangan kemahasiswaan.
FEB,Fakultas Ekonomi dan Bisnis,Terdapat menu Komplain Pelanggan sebagai kanal yang kemungkinan digunakan untuk menerima masukan atau keluhan dari pengguna layanan fakultas mendukung perbaikan mutu dan layanan administratif.
FEB,Fakultas Ekonomi dan Bisnis,Pada laman berita Prodi Akuntansi berhasil meraih akreditasi Baik Sekali yang menunjukkan peningkatan mutu dan pengakuan eksternal atas kualitas program studi.
FEB,Fakultas Ekonomi dan Bisnis,Visi FEB adalah menjadi pusat pengembangan ilmu ekonomi dan bisnis Islami yang unggul di Indonesia. Misi fakultas mencakup pendidikan berkualitas penelitian relevan dengan kebutuhan masyarakat pengabdian berbasis pemberdayaan ekonomi umat serta penguatan karakter Islami mahasiswa.
FEB,Fakultas Ekonomi dan Bisnis,Terdapat menu Tracer Study yang memungkinkan lulusan sebagai bagian dari unit alumni membantu pelacakan dan pemetaan karier alumni setelah lulus.
FT,Fakultas Teknik,Fakultas Teknik UNISMUH berdiri sejak tahun 1987 ditandai dengan operasionalnya Program Studi Teknik Pengairan berdasarkan SK No 0628/O/1989. Pada tahun yang sama prodi ini mulai menerima mahasiswa baru. Sejak itu selama lebih dari 30 tahun fakultas ini telah mendidik tenaga teknik yang berkompetensi dan tersebar di berbagai daerah maupun internasional berkontribusi dalam pembangunan nasional.
FT,Fakultas Teknik,Fakultas Teknik memiliki visi menjadi lembaga yang Islami unggul dalam bidang teknik dipercaya oleh masyarakat dan mandiri dalam pengelolaan administratif maupun akademik.
FT,Fakultas Teknik,Misinya mencakup enam poin utama: meningkatkan keimanan dan ketaqwaan melalui pembinaan Al-Islam dan Kemuhammadiyahan menyelenggarakan pendidikan berkualitas penelitian inovatif dan berdaya saing pengabdian masyarakat yang bermanfaat menjalin kemitraan nasional dan internasional serta menumbuhkan jiwa kewirausahaan di kalangan civitas akademika.
FT,Fakultas Teknik,Struktur pimpinan Fakultas Teknik terdiri dari: Dekan Dr. Ir. Hj. Nurnawaty S.T. M.T. IPM Wakil Dekan I Ir. Muhammad Syafa'at S. Kuba S.T. M.T. Wakil Dekan II Dr. Ir. Andi Makbul Syamsuri S.T. M.T. IPM dan Wakil Dekan III Dr. Abd. Rahman Bahtiar S.Ag. M.A.
FT,Fakultas Teknik,Fakultas Teknik memiliki akreditasi sebagai berikut: Teknik Pengairan Baik Sekali (SK 2022 berlaku hingga 20 Agustus 2027) Teknik Elektro B (SK 2021 berlaku hingga 11 Januari 2027) Arsitektur Unggul (SK 2023 berlaku hingga 17 Mei 2028) Informatika Baik (SK 2023 berlaku hingga 30 Mei 2028) Perencanaan Wilayah & Kota Baik (SK 2023 berlaku hingga 6 Juni 2028).
FT,Fakultas Teknik,Fakultas Teknik bekerja sama dengan Universitas Teknologi Malaysia (UTM) dan Universitas Malaysia Kelantan (UMK) dalam workshop Internasional bertema Child-Friendly Environment (CFE) yang mencakup riset dan pengabdian masyarakat. Kegiatan diselenggarakan di Balai Sidang Muktamar Unismuh pada 19 September 2022 dengan penandatanganan MoU antara Unismuh dan Wali Kota Makassar serta dihadiri tim peneliti dari Malaysia.
FT,Fakultas Teknik,Dekan Fakultas Teknik Dr. Nurnawaty melaporkan bahwa kolaborasi berlangsung selama lima hari sejak 18 hingga 23 September 2022. Rektor dan pimpinan universitas turut terlibat menegaskan pentingnya kerja sama internasional sebagai indikator kinerja fakultas dan universitas.
FT,Fakultas Teknik,Wali Kota Makassar menyatakan bahwa Unismuh termasuk Fakultas Teknik merupakan mitra strategis dalam pembangunan kota. Fakultas Teknik terlibat dalam riset dan pengabdian yang mendukung pengembangan kota termasuk revitalisasi lorong wisata yang mencerminkan Tri Dharma Perguruan Tinggi dan nilai Islami.
FT,Fakultas Teknik,Kolaborasi internasional ini difasilitasi oleh LPBKUI (Lembaga Pengembangan Bahasa Kerjasama dan Urusan Internasional) Unismuh yang memainkan peran penting dalam merintis hubungan penelitian pengabdian dan pertukaran akademik.
FT,Fakultas Teknik,Fakultas Teknik menekankan pendidikan yang tidak hanya teknikal namun juga dilandasi nilai-nilai Islami dalam menghasilkan insinyur profesional yang berintegritas dan inovatif.
FT,Fakultas Teknik,HMJ di Fakultas Teknik terdiri dari himpunan mahasiswa di tiap program studi yaitu Teknik Sipil Teknik Mesin Teknik Elektro Informatika Arsitektur serta Perencanaan Wilayah dan Kota. Seluruh HMJ berfungsi sebagai wadah untuk mempererat solidaritas mahasiswa meningkatkan keterampilan akademik dan non-akademik serta menyelenggarakan berbagai kegiatan seperti seminar pelatihan lomba ilmiah dan pengabdian masyarakat. HMJ juga menjadi ruang bagi mahasiswa untuk mengembangkan kreativitas kepemimpinan dan kerja sama tim sesuai karakteristik keilmuannya masing-masing.
FT,Fakultas Teknik,Dosen dan mahasiswa aktif melaksanakan penelitian di bidang teknik sipil teknologi mesin kelistrikan informatika hingga perencanaan wilayah kota yang hasilnya dipublikasikan pada jurnal nasional dan internasional.
FT,Fakultas Teknik,Mahasiswa Fakultas Teknik kerap menorehkan prestasi dalam lomba karya tulis ilmiah desain arsitektur kontes robot pengembangan aplikasi digital hingga kejuaraan olahraga dan seni tingkat nasional.
FT,Fakultas Teknik,Fakultas menyediakan laboratorium teknik sipil elektro mesin arsitektur dan informatika ruang kuliah modern studio perancangan hingga akses internet kampus untuk mendukung kegiatan akademik.
FT,Fakultas Teknik,Website menyediakan jadwal kuliah kalender akademik pedoman skripsi panduan KKP (Kuliah Kerja Profesi) hingga SOP akademik yang memudahkan mahasiswa dalam melaksanakan studi.

